Åland_Islands  Åland University of Applied Sciences  Mariehamn
India  Lakshmi Narain College of Technology  Bhopal
India  Rajiv Gandhi Proudyogiki Vishwavidyalaya  Bhopal
India  Maulana Azad National Institute of Technology  Bhopal
India  Madhya Pradesh Bhoj Open University  Bhopal
India  Indian Institute of Forest Management  Bhopal
India  National Law Institute University  Bhopal
India  Indian Institute of Science Education and Research, Bhopal  Bhopal
India  Chaudhary Charan Singh Haryana Agricultural University  Hisar_(city)
India  Bijoy Krishna Girls' College  Howrah
India  Manipur University  Imphal
India  SVCE Indore  Indore
India  Shri Govindram Seksaria Institute of Technology and Science  Indore
India  Rajiv Gandhi Institute of Medical Sciences, Ongole  Ongole
India  University Institute of Information Technology, Himachal Pradesh University  Shimla
India  Himachal Pradesh University  Shimla
India  Sharda Group of Institutions  North_India
India  Sree Narayana Polytechnic College  Kollam
India  Younus College of Engineering & Technology  Kollam
India  Aryabhatta Institute of Engineering and Management  Durgapur,_West_Bengal
India  Kharagpur College  Kharagpur,_West_Bengal
India  National Institute of Technology Raipur  Raipur,_Chhattisgarh
India  Prabhat Kumar College  Contai
India  Ganpat University  Kherva
India  Peoples Action for Rural Awakening  Ravulapalem
India  Meenakshi Sundararajan Engineering College  Kodambakkam,_Chennai
India  College of Engineering, Perumon  Perinad
India  MKM Educational Trust  Thirukkalacherry
India  Maynaguri College  Maynaguri
India  Aditya College  Gwalior
India  Ramabai Government Women Post Graduate College  Ambedkar Nagar
India  Metis Institute of Polytechnic  Jind
India  Rourkela Institute of Technology  Rourkela
India  V V College of Science and Technology  Palakkad
India  Park College of Engineering and Technology  Kaniyur, Coimbatore
India  Patnam Rajender Reddy Memorial Engineering College  Shabad Mandal, Rangareddy district, Andhra Pradesh
India  Umrer College of Engineering  State Highway 9 Opposite WCL Umrer,
India  Ramnagar College  Depal, Ramnagar II
India  Sri Ramakrishna College of Arts and Science for Women  Siddhapudur, Coimbatore
India  University of Agricultural Sciences, Bangalore  Bangalore
India  National Law School of India University  Bangalore
India  Nitte Meenakshi Institute of Technology  Bangalore
India  City Engineering College  Bangalore
India  M S Ramaiah School of Advanced Studies  Bangalore
India  Aashayein foundation  Bangalore
India  National Institute of Design, Bangalore  Bangalore
India  International Centre for Theoretical Sciences  Bangalore
India  International Institute of Information Technology, Bangalore  Bangalore
India  Vydehi Institute of Medical Sciences and Research Centre  Bangalore
India  University Law College, Bangalore  Bangalore
India  St. Joseph's College, Bangalore  Bangalore
India  Acharya Pathasala Public School  Bangalore
India  CMR Institute of Technology  Bangalore
India  The Oxford College of Science  Bangalore
India  Indian Institute of Nano Science & Technology  Bangalore
India  Eastern Fare Music Foundation  Bangalore
India  GSS Institute of Technology  Bangalore
India  Mount Carmel College, Bangalore  Bangalore
India  The National Centre for Biological Sciences  Bangalore
India  T John Institute of Technology  Bangalore
India  South Asia Theological Research Institute  Bangalore
India  R.V. College of Engineering  Bangalore
India  JSSATE  Bangalore
India  B.M.S. Institute of Technology  Bangalore
India  HKBK College of Engineering  Bangalore
India  Vardhaman Mahaveer Open University  Kota,_Rajasthan
India  Darbhanga Medical College and Hospital  Darbhanga
India  Balurghat Mahila Mahavidyalaya  Balurghat
India  University Institute of Technology, Burdwan University  West_Bengal
India  Orissa School of Mining Engineering, Keonjhar  Kendujhar
India  Vidyasagar University  Midnapore
India  Midnapore Medical College and Hospital  Midnapore
India  Midnapore Law College  Midnapore
India  K.D. College of Commerce and General Studies  Midnapore
India  Parisutham Institute of Technology and Science  Thanjavur
India  Narbheram Hansraj High School  Jamshedpur
India  Shree Vidyalaya  Gobichettipalayam
India  Shree Venkateshwara Hi-Tech Engineering College  Gobichettipalayam
India  Mar Athanasios College for Advanced Studies, Tiruvalla  Tiruvalla
India  Mahatma Gandhi Chitrakoot Gramoday University  Chitrakoot
India  Kanchrapara College  Kanchrapara
India  Counter-insurgency and Jungle Warfare School  Vairengte
India  Thakur College of Engineering and Technology  Kandivali
India  Indian Institute of Technology Gandhinagar  Chandkheda
India  Aliah University  Kolkata
India  Vidyasagar College  Kolkata
India  Jogamaya Devi College  Kolkata
India  Basanti Devi College  Kolkata
India  Dum Dum Motijheel Rabindra Mahavidyalaya  Kolkata
India  Nil Ratan Sircar Medical College and Hospital  Kolkata
India  School of Information Technology  Kolkata
India  Calcutta School of Music  Kolkata
India  Maulana Abul Kalam Azad Institute of Asian Studies  Kolkata
India  Patha Bhavan, Kolkata  Kolkata
India  Vijaygarh Jyotish Ray College  Kolkata
India  Rabindra Bharati University  Kolkata
India  St. Xavier's College, Kolkata  Kolkata
India  West Bengal University of Technology  Kolkata
India  Bose Institute  Kolkata
India  Camellia School of Business Management  Kolkata
India  Ramakrishna Sarada Mission Vivekananda Vidyabhavan  Kolkata
India  Surendranath College for Women  Kolkata
India  Netaji Nagar College (Evening)  Kolkata
India  Government College of Engineering and Ceramic Technology  Kolkata
India  Netaji Subhas Open University  Kolkata
India  Gurudas College  Kolkata
India  Chittaranjan College  Kolkata
India  Milli Al-Ameen College for Girls  Kolkata
India  Viharilal College for Home and Social Science  Kolkata
India  Department of Instrumental Music, Rabindra Bharati University  Kolkata
India  Sarsuna College  Kolkata
India  Maharani Kasiswari College  Kolkata
India  Khudiram Bose Central College  Kolkata
India  Sahid Khudiram Siksha Prangan  Kolkata
India  Mahatma Gandhi Chitrakoot Gramoday University  Madhya_Pradesh
India  Anna University, Chennai  Chennai
India  Dr. M.G.R. Educational and Research Institute  Chennai
India  Stanley Medical College  Chennai
India  Great Lakes Institute of Management  Chennai
India  Institute for Financial Management and Research  Chennai
India  St. Joseph's College of Engineering  Chennai
India  St. Marys School of Management  Chennai
India  SKR Engineering College  Chennai
India  Aksheyaa College of Engineering  Chennai
India  Ramakrishna Mission Vivekananda College  Chennai
India  Sri Sivasubramaniya Nadar College of Engineering  Chennai
India  Madras Medical College  Chennai
India  Panimalar Engineering College  Chennai
India  Mar Gregorios College of Arts and Science, Chennai  Chennai
India  Indian Maritime University  Chennai
India  Anand Institute of Higher Technology  Chennai
India  Madras Christian College  Chennai
India  Sri Sai Ram Engineering College  Chennai
India  Jeppiaar Engineering College  Chennai
India  Loyola-ICAM College of Engineering and Technology (LICET)  Chennai
India  Meenakshi Sundararajan Engineering College  Chennai
India  Rajiv Gandhi Institute of Medical Sciences, Adilabad  Adilabad
India  Jamia Islamia Bhatkal  Bhatkal
India  Management Development Institute  Gurgaon
India  Indian Institute of Tourism and Travel Management  Gwalior
India  ITM University, Gwalior  Gwalior
India  Chhatrapati Shahuji Maharaj Medical University  Lucknow
India  Darul-uloom Nadwatul Ulama  Lucknow
India  Institute of Engineering and Technology  Lucknow
India  Jamia Nazmia  Lucknow
India  K. L. N. College of Engineering  Madurai
India  Tamilnadu Theological Seminary  Madurai
India  American College Higher Secondary School  Madurai
India  M.S.S.Wakf Board College  Madurai
India  Narayan Medical College and Hospital  Sasaram
India  Samrat Ashok Technological Institute  Vidisha
India  Rajiv Gandhi Institute of Technology, Kottayam  Kottayam
India  Shree Rayeshwar Institute of Engineering and Information Technology  Shiroda
India  Gandhi Institute of Engineering and Technology  Gunupur
India  Samalkha Group of Institutions  Samalkha
India  Panskura Banamali College  Panskura
India  MediCiti Institute of Medical Sciences  Medchal
India  Govindammal Aditanar College for Women  Thiruchendur
India  Sree Narayana Polytechnic College  Kottiyam
India  Maharashtra College of Engineering Nilanga  Nilanga
India  Birla Institute of Applied Sciences  Bhimtal
India  University of Agricultural Sciences, Bangalore  India
India  Dr. Babasaheb Ambedkar Open University  India
India  St. Marys School of Management  India
India  Shivaji University  India
India  Sri Krishnadevaraya University  India
India  Dr. N.T.R. University of Health Sciences  India
India  Mahatma Gandhi Chitrakoot Gramoday University  India
India  CKB Commerce College  Assam
India  Shri Shankaracharya College of Engineering and Technology  Durg
India  Pulla Reddy Institute of Technology  Medak
India  Army War College, Mhow  Mhow
India  Bharati Vidyapeeth Deemed University College of Engineering, Pune  Pune
India  Fergusson College  Pune
India  Sinhgad Technical Education Society  Pune
India  International School of Design  Pune
India  P.E.Society English Medium High School and Junior College  Thane
India  Sasurie College of Engineering  Erode
India  Nandha Engineering College  Erode
India  Erode Arts College  Erode
India  Master's College of Theology  Visakhapatnam
India  Andhra Medical College  Visakhapatnam
India  Andhra University College of Engineering  Visakhapatnam
India  Maharajah's College  Vizianagaram
India  Jaypee Institute of Information Technology  Noida
India  Amity Institute of Biotechnology  Noida
India  Sri Venkateswara College of Engineering Technology, Chittoor  Tirupati_(city)
India  Sri Venkateswara Institute of Medical Sciences  Tirupati_(city)
India  Anurag Engineering College  Kodad
India  Sree Chaitanya Mahavidyalay  Habra
India  SKR Engineering College  Poonamallee
India  Panimalar Engineering College  Poonamallee
India  Mahishadal Girls College  Mahishadal_(community_development_block)
India  Sanjay Memorial Institute of Technology  Orissa
India  Marathwada Institute of Technology  Aurangabad,_Maharashtra
India  St. Andrew's College, Mumbai  Bandra
India  Vedanta University  Konark
India  Jagadguru Sri Shivarathreeshwara University  Mysore
India  National Institute of Engineering  Mysore
India  MYRA School of Business  Mysore
India  Pt. B.D. Sharma PGIMS Rohtak  Rohtak
India  Jat Education Society Rohtak  Rohtak
India  Ramrao Adik Institute of Technology  Navi_Mumbai
India  Datta Meghe College of Engineering  Navi_Mumbai
India  DAV Public School Nerul  Navi_Mumbai
India  Willingdon College  Sangli
India  International Institute of Information Technology, Basar  Basara
India  Rabin Mukherjee College  Behala
India  Dhrubachand Haldar College  Dakshin_Barasat
India  Haryana Institute of Technology (HIT)  Brh
India  Mukand Lal National College  Yamuna Nagar
India  Meenakshi Vilasam Government Vocational Higher Secondary School  Kollam
India  Vidyadaan Institute of Technology and Management  Buxar
India  Mount Zion College of Engineering and Technology  Lena Vilakku, Pudukkottai
India  National Atmospheric Research Laboratory  Gadanki
India  National Institute of Rehabilitation Training and Research  Olatpur, Cuttack, Orissa
India  Yogoda Satsanga Palpara Mahavidyalaya  Palpara
India  Vels University  Pallavaram, Chennai
India  Aditya Engineering College  Surampalem, Peddapuram
India  Khejuri College  Baratala, Khejuri II
India  Sri Sathya Sai University  Anantapur_district
India  Krishnath College  Baharampur
India  National Institute of Science and Technology  Berhampur
India  Sanjay Memorial Institute of Technology  Berhampur
India  St. Aloysius College (Mangalore)  Mangalore
India  School of Planning and Architecture, Vijayawada  Vijayawada
India  Dr. N.T.R. University of Health Sciences  Vijayawada
India  Nimra College of Engineering and Technology  Vijayawada
India  Bhaskaracharya Institute For Space Applications and Geo-Informatics  Gandhinagar
India  Government Villupuram Medical College  Viluppuram
India  University College of Engineering, Kakatiya University  Kothagudem
India  College of Engineering Chengannur  Chengannur
India  SMS College Brahmavar  Brahmavar
India  Purushottam Institute of Engineering and Technology  Kansbahal
India  Aga Khan University  Karachi
India  Krantiguru Shyamji Krishna Verma Kachchh University  Gujarat
India  Ganpat University  Gujarat
India  Rayat Institute of Engineering & Information Technology  Punjab,_India
India  University College of Engineering  Punjab,_India
India  Dr. S.N. Medical College, Jodhpur  Jodhpur
India  Jai Narain Vyas University  Jodhpur
India  University of Petroleum and Energy Studies  Dehradun
India  SDM College of Engineering and Technology  Dharwad
India  Sikkim Manipal University  Gangtok
India  Sikkim Government College  Gangtok
India  St. Anthony's College, Shillong  Shillong
India  Eastern Fare Music Foundation  Shillong
India  Shillong Polytechnic  Shillong
India  Women's College, Shillong  Shillong
India  Talcher Autonomous College  Talcher
India  Government Medical College, Thrissur  Thrissur
India  Ganpat University  Mehsana
India  Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya  Palampur
India  Ranaghat College  Ranaghat
India  Vidyajyoti College of Theology  Delhi
India  Guru Premsukh Memorial College of Engineering  Delhi
India  Presentation Convent Senior Secondary School  Delhi
India  British Lingua  Delhi
India  International School of Design  Valenciennes
India  Anugrah Narayan College, Patna  Patna
India  St. John's College, Agra  Agra
India  Himachal Pradesh Technical University  Hamirpur,_Himachal_Pradesh
India  Sher-e-Kashmir University of Agricultural Sciences and Technology of Jammu  Jammu
India  Shailesh J. Mehta School of Management  Powai
India  Sree Kavitha Engineering College  Khammam_district
India  Sardar Vallabhbhai Patel Institute of Technology  Vasad
India  Subarnarekha Mahavidyalaya  Gopiballavpur
India  Industrial Design Centre  Mumbai
India  SNDT Women's University  Mumbai
India  Shailesh J. Mehta School of Management  Mumbai
India  Jai Hind College  Mumbai
India  S. P. Jain Institute of Management and Research  Mumbai
India  Thakur College of Engineering and Technology  Mumbai
India  Sardar Patel College of Engineering  Mumbai
India  Institute of Chemical Technology  Mumbai
India  St. Andrew's College, Mumbai  Mumbai
India  Homi Bhabha National Institute  Mumbai
India  Homi Bhabha Centre for Science Education  Mumbai
India  Sir J. J. College of Architecture  Mumbai
India  Dwarkadas J. Sanghvi College of Engineering  Mumbai
India  Sawai ManSingh Medical College  Jaipur
India  JECRC University  Jaipur
India  Indian Institute of Management Ranchi  Ranchi
India  Sri Krishnadevaraya University  Anantapur,_Andhra_Pradesh
India  Government Medical College, Anantapur  Anantapur,_Andhra_Pradesh
India  Vimal Jyothi Engineering College  Kannur
India  Kanpur Institute of Technology  Kanpur
India  Kalinga Institute of Dental Sciences  Bhubaneswar
India  Orissa University of Agriculture and Technology  Bhubaneswar
India  BIMTECH Bhubaneswar  Bhubaneswar
India  Xavier Institute of Management, Bhubaneswar  Bhubaneswar
India  KIIT Law School  Bhubaneswar
India  College of Engineering and Technology, Bhubaneswar  Bhubaneswar
India  Indian Institute of Technology Bhubaneswar  Bhubaneswar
India  Indira Gandhi Institute of Pharmaceutical Sciences  Bhubaneswar
India  College of Science & Engineering, Jhansi  Jhansi
India  Lala Lajpat Rai Memorial Medical College  Meerut
India  ABSS Institute of Technology  Meerut
India  Vidya College of Engineering  Meerut
India  Garhbeta College  Paschim_Medinipur_district
India  Indian Institute of Science Education and Research, Mohali  Mohali
India  Namchi Government College  Namchi
India  Birsa Institute of Technology Sindri  Sindri
India  Islampur College  Islampur,_Uttar_Dinajpur_(community_development_block)
India  Azad Hind Fouz Smriti Mahavidyalaya  Domjur
India  Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth  Dapoli
India  Government College of Engineering and Ceramic Technology  Beliaghata
India  Santal Bidroha Sardha Satabarsiki Mahavidyalaya  Goaltore
India  Vivekananda College, Madhyamgram  Madhyagram
India  Bajkul Milani Mahavidyalaya  Kismat_Bajkul
India  South Malda College  Pubaran
India  Pakuahat Degree College  Pakuahat
India  Gyan Jyoti College  Dagapur
India  Sri Ramakrishna Engineering College  Vattamalaipalayam
India  Bharati Vidyapeeth Institute Of Management and Research  New Delhi
India  TERI University  New Delhi
India  University School of Biotechnology  New Delhi
India  Indian Institute of Planning and Management  New Delhi
India  Guru Gobind Singh College of Modern Technology  Mohali
India  Institute of Integrated Management and Technology, Varanasi  Varanasi, India
India  Ayya Nadar Janaki Ammal College  Sivakasi
India  University of Kerala  ThiruvananthapuramPIN : 695034
India  Indian Institute of Foreign Trade  Delhi and Kolkata
India  Abhedananda Mahavidyalaya  Sainthia
India  Maharaja's College  Ernakulam, Kochi
India  Vivekananda Degree College, Puttur  Nehru Nagar, Puttur
India  Apollo Engineering College  Chettipedu,Poonamallee,Chennai
India  Mugberia Gangadhar Mahavidyalaya  Bhupatinagar, Bhagabanpur II
India  Darjeeling Government College  Darjeeling
India  Malnad College of Engineering  Karnataka
India  Karnataka State Open University  Karnataka
India  University of Rajasthan  Rajasthan
India  Government College of Fine Arts, Chennai  Tamil_Nadu
India  Dr. Mahalingam College of Engineering and Technology  Tamil_Nadu
India  Institute of Engineering and Rural Technology  Allahabad
India  Motilal Nehru National Institute of Technology  Allahabad
India  Shambhunath Institute of Engineering and Technology  Allahabad
India  CEPT University  Ahmedabad
India  Gujarat Technological University  Ahmedabad
India  Aligarh Muslim University  Aligarh,_Uttar_Pradesh
India  Sir Shah Sulaiman Hall  Aligarh,_Uttar_Pradesh
India  T. K. Madhava Memorial College  Alappuzha
India  Hooghly Mohsin College  Hugli-Chuchura
India  Government Arts College, Kumbakonam  Kumbakonam
India  Moradabad Institute of Technology  Moradabad
India  Rajiv Gandhi Institute of Petroleum Technology  Raebareli
India  Feroze Gandhi Institute of Engineering and Technology  Raebareli
India  National University of Study and Research in Law  Jharkhand
India  Anna University of Technology, Tiruchirappalli  Tiruchirappalli
India  MAMCE  Tiruchirappalli
India  YMCA University of Science and Technology  Faridabad
India  Manav Rachna International University  Faridabad
India  Rai University  Faridabad
India  Kodaikanal Christian College  Kodaikanal
India  College of Engineering, Thalassery  Thalassery
India  A. D. Patel Institute of Technology  Vallabh_Vidhyanagar
India  Bidhannagar College  Salt_Lake_City,_Kolkata
India  Jamini Roy College  Beliatore
India  Bilasipara College, Bilasipara  Bilasipara
India  Bhairab Ganguly College  Belgharia
India  Mangalore Institute of Technology & Engineering  Moodabidri
India  Sitananda College  Nandigram
India  Ramananda Centenary College  Puncha_(community_development_block)
India  Panchmura Mahavidyalaya  Panchmura
India  JUIT Department of Pharmacy  Waknaghat
India  Rajiv Gandhi College of Engineering, Research and Technology, Chandrapur  Maharashtra
India  Sant Gadge Baba Amravati University  Maharashtra
India  B.L.D.E.A's V.P. Dr. P.G. Halakatti College of Engineering and Technology  Bijapur
India  Rangaraya Medical College  Kakinada
India  Ravenshaw University  Cuttack
India  National Law University, Orissa  Cuttack
India  Nistarini Women's College  Purulia
India  Hemchandracharya North Gujarat University  Patan,_Gujarat
India  Mohindra College  Patiala
India  Thapar Polytechnic College  Patiala
India  University of Solapur  Solapur
India  Bidhan Chandra College, Asansol  Asansol
India  Asansol Girls' College  Asansol
India  North Bengal Medical College  Siliguri
India  Surya Sen Mahavidyalaya  Siliguri
India  College of Engineering Roorkee  Roorkee
India  Barjora College  Barjora
India  Raghunathpur College  Raghunathpur,_Purulia
India  Chanchal College  Chanchal
India  NSS College of Engineering  Akathethara
India  Birpara College  Birpara
India  Government Autonomous College, Rourkela  Panposh
India  Dhivya Polytechnic College  Chetpet
India  University of Kashmir  Jammu_and_Kashmir
India  Annasaheb Dange College of Engineering & Technology, Ashta  Ashta,_Maharashtra
India  Inderprastha Engineering College  Ghaziabad,_Uttar_Pradesh
India  Ajay Kumar Garg Engineering College  Ghaziabad,_Uttar_Pradesh
India  ABES Engineering College  Ghaziabad,_Uttar_Pradesh
India  Institute of Management Technology, Ghaziabad  Ghaziabad,_Uttar_Pradesh
India  Veer Narmad South Gujarat University  Surat
India  C K Pithawala College of Engineering and Technology  Surat
India  Kerala Nurses and Midwives Council  Thiruvananthapuram
India  Indian Institute of Space Science and Technology  Thiruvananthapuram
India  SUT Academy of Medical Sciences  Thiruvananthapuram
India  Marian Engineering College  Thiruvananthapuram
India  Mar Ivanios College  Thiruvananthapuram
India  College of Engineering Attingal  Thiruvananthapuram
India  Lukhdhirji Engineering College  Morvi
India  G H Patel College Of Engineering & Technology  Anand
India  Gautam Buddha University School of Biotechnology  Greater_Noida
India  Ishan Institute of Management & Technology  Greater_Noida
India  Konark Institute of Science and Technology  Dhenkanal,_India
India  Silda Chandra Sekhar College  Silda
India  Manbhum Mahavidyalaya  Manbazar_I_(community_development_block)
India  Udaynarayanpur Madhabilata Mahavidyalaya  Udaynarayanpur_(community_development_block)
India  R.M.K. College of Engineering & Technology  Kavaraipettai
India  Osmania University's College of Technology  Hyderabad,_India
India  Vidya Jyothi Institute of Technology  Hyderabad,_India
India  Malla Reddy Engineering College  Hyderabad,_India
India  Deccan College of Medical Sciences  Hyderabad,_India
India  Nalsar University of Law  Hyderabad,_India
India  Indian Green Building Council  Hyderabad,_India
India  St. Ann's College for Women  Hyderabad,_India
India  Chindu (organization)  Hyderabad,_India
India  Rai University  Hyderabad,_India
India  Jamia Nizamia  Hyderabad,_India
India  Badruka College  Hyderabad,_India
India  Indian Institute of Surveying & Mapping  Hyderabad,_India
India  HEH Nizam and Alladin Technical Institute  Hyderabad,_India
India  Government Nizamia Tibbi College  Hyderabad,_India
India  Malla Reddy Engineering College  Andhra_Pradesh
India  Deccan College of Medical Sciences  Andhra_Pradesh
India  Yogi Vemana University  Andhra_Pradesh
India  Rajiv Gandhi National Cyber Law Center  Bhopal
India  Rai University  Bhopal
India  Bansal Institute of Science and Technology  Bhopal
India  Lala Lajpat Rai University of Veterinary and Animal Sciences  Hisar_(city)
India  Sir J. C. Bose School of Engineering  Hooghly_district
India  MCKV Institute of Engineering  Howrah
India  Narasinha Dutt College  Howrah
India  Devi Ahilya Vishwavidyalaya  Indore
India  International Institute of Professional Studies  Indore
India  Rai University  Indore
India  Indian Institute of Management Indore  Indore
India  Guru Gobind Singh Polytechnic, Nasik  Nashik
India  Thangal Kunju Musaliar College of Engineering, Kollam  Kollam
India  Department of Computer Applications, NSHM Knowledge Campus  Durgapur,_West_Bengal
India  Aryabhatta Institute of Engineering & Management Durgapur  Durgapur,_West_Bengal
India  School of Medical Science and Technology  Kharagpur,_West_Bengal
India  Pragati College of Engineering and Management, Raipur  Raipur,_Chhattisgarh
India  Muzaffarnagar Medical College  Muzaffarnagar
India  Budge Budge College  Budge_Budge
India  KGiSL Institute of Information Management  Saravanampatti
India  Biju Patnaik University of Technology  Chhend_Colony
India  Salesian College, Darjeeling  Sonada
India  Kaliyaganj College  Kaliyaganj
India  Sahid Kshudiram Mahavidyalaya  Kamakshyaguri
India  Nani Bhattacharya Smarak Mahavidyalaya  Mangalbari
India  Sitalkuchi College  Sitalkuchi
India  Chapra Bangaljhi Mahavidyalaya  Bangaljhi
India  Kirodimal Institute of Technology – Raigarh  RAIGARH
India  Gourmohan Sachin Mondal Mahavidyalaya  Bireshwarpur
India  Saheed Nurul Islam Mahavidyalaya  Gokulpur-Harishpur
India  Institute of Management Technology, Hyderabad  Hyderabad, India
India  Tripura Medical College & Dr. B.R. Ambedkar Memorial Teaching Hospital  Agartala
India  Indian School of Mines  Dhanbad
India  Maharaja Agrasen Institute of Management and Technology  Jagadhri
India  Maharaja Agrasen College, Jagadhri  Jagadhri
India  SMVM Polytechnic, Tanuku  Tanuku
India  Jain Vishva Bharati University  Ladnun
India  St. Pius X College, Rajapuram  Rajapuram
India  Rajiv Gandhi University  Rono-Hills, Doimukh
India  Mount Zion College of Engineering  Kadammanitta, Pathanamthitta District
India  Arulmigu Meenakshi Amman College of Engineering  Vadamanvandal
India  Akshaya College of Engineering and Technology  Kinathukadavu, Coimbatore
India  Nettur Technical Training Foundation  Bangalore
India  United Theological College, Bangalore  Bangalore
India  Sri Venkateshwara College of Engineering, Bangalore  Bangalore
India  Air Force Technical College, Bangalore  Bangalore
India  Indian Institute of Management Bangalore  Bangalore
India  Raman Research Institute  Bangalore
India  St. Joseph's College of Commerce  Bangalore
India  Rai University  Bangalore
India  Dr. Ambedkar Institute of Technology  Bangalore
India  The Oxford College of Engineering  Bangalore
India  Sai Vidya Institute of Technology  Bangalore
India  P.E.S. School of Engineering  Bangalore
India  University of Kota  Kota,_Rajasthan
India  Government Medical College, Kota  Kota,_Rajasthan
India  Mithila Minority Dental College and Hospital  Darbhanga
India  Dibrugarh University  Dibrugarh
India  Balurghat College  Balurghat
India  Indira Kala Sangeet University  Khairagarh
India  Institute of Science & Technology  Midnapore
India  Midnapore College  Midnapore
India  Rajah Serfoji Government Arts College  Thanjavur
India  Kunthavai Nachiaar College  Thanjavur
India  Bonsecours College for Women  Thanjavur
India  Mahatma Gandhi Memorial Medical College, Jamshedpur  Jamshedpur
India  XLRI School of Business and Human Resources  Jamshedpur
India  University Institute of Engineering and Technology, Kurukshetra University  Kurukshetra
India  National Institute of Technology, Kurukshetra  Kurukshetra
India  Central University of Tamil Nadu  Tiruvarur
India  University College of Engineering, Thodupuzha  Thodupuzha
India  Eastern Institute for Integrated Learning in Management University  Jorethang
India  Malwa College of Nursing  Kotkapura
India  Kalinagar Mahavidyalaya  Kalinagar
India  MES College of Engineering  Kuttippuram
India  Sagardighi Mahavidyalaya  Sagardighi_(community_development_block)
India  GMR Institute of Technology  Rajam,_Andhra_Pradesh
India  T. K. Madhava Memorial College  Nangiarkulangara
India  Indian Institute of Management Calcutta  Kolkata
India  Sanskrit College  Kolkata
India  Ramakrishna Mission Vivekananda University  Kolkata
India  Goenka College of Commerce and Business Administration  Kolkata
India  IPGMER and SSKM Hospital  Kolkata
India  East Calcutta Girl's College  Kolkata
India  Calcutta Technical School  Kolkata
India  Rammohan College  Kolkata
India  Acharya Prafulla Chandra College  Kolkata
India  Ramakrishna Mission Residential College, Narendrapur  Kolkata
India  Eclecia  Kolkata
India  Acharya Jagadish Chandra Bose College  Kolkata
India  Lady Brabourne College  Kolkata
India  Syamaprasad College  Kolkata
India  Maharaja Manindra Chandra College  Kolkata
India  Victoria Institution (College)  Kolkata
India  The Bhowanipur Education Society College  Kolkata
India  Medical College and Hospital, Kolkata  Kolkata
India  Netaji Subhash Engineering College  Kolkata
India  Bidhannagar College  Kolkata
India  Asutosh College  Kolkata
India  Institute of Science and Advanced Research  Kolkata
India  Indian Institute of Chemical Biology  Kolkata
India  Dum Dum Motijheel College  Kolkata
India  Scottish Church College  Kolkata
India  South Calcutta Girls' College  Kolkata
India  Bangabasi Morning College  Kolkata
India  Acharya Prafulla Chandra Ray Polytechnic  Kolkata
India  Bangabasi College  Kolkata
India  Brahmananda Keshab Chandra College  Kolkata
India  Assembly of God Church School  Kolkata
India  New Alipore College  Kolkata
India  Women's Christian College, Calcutta  Kolkata
India  Rani Birla Girls' College  Kolkata
India  Seth Soorajmull Jalan Girls' College  Kolkata
India  Savitri Girls' College  Kolkata
India  Jogesh Chandra Chaudhuri College  Kolkata
India  Calcutta Girls' College  Kolkata
India  Acharya Girish Chandra Bose College  Kolkata
India  Surendranath Evening College  Kolkata
India  Taradevi Harakhchand Kankaria Jain College  Kolkata
India  Sri Venkateswara College of Engineering  Chennai
India  DG Vaishnav College  Chennai
India  Government College of Fine Arts, Chennai  Chennai
India  Pachaiyappa's College  Chennai
India  Image College of Arts, Animation & Technology  Chennai
India  KM Music Conservatory  Chennai
India  SRM Polytechnic College  Chennai
India  Sri Muthukumaran Institute Of Technology  Chennai
India  R.M.K. College of Engineering & Technology  Chennai
India  Tamil Nadu Teachers Education University  Chennai
India  Indian Institute of Technology Madras  Chennai
India  Institute of Mathematical Sciences  Chennai
India  Sree Sastha Institute of Engineering and Technology  Chennai
India  Sir Theagaraya College  Chennai
India  Sri Ramachandra Medical College and Research Institute  Chennai
India  Rajalakshmi Engineering College  Chennai
India  Anna University of Technology, Chennai  Chennai
India  Zima Medical Science & Educational Trust  Chennai
India  Madras Institute of Technology  Chennai
India  Rai University  Chennai
India  Madras School of Economics  Chennai
India  Kilpauk Medical College  Chennai
India  AMET University  Chennai
India  Manikya Lal Verma Textile and Engineering College  Bhilwara
India  Agartala Government Medical College  Agartala
India  Punjab Technical University Giani Zail Singh Campus  Bathinda
India  Institute of Energy Management and Research  Gurgaon
India  Rai University  Gurgaon
India  Rai University  Gwalior
India  N.C. Autonomous College, Jajpur  Jajapur
India  St. Francis' College  Lucknow
India  Gautam Buddh Technical University  Lucknow
India  Rai University  Lucknow
India  Punjab Agricultural University  Ludhiana
India  Guru Angad Dev Veterinary and Animal Sciences University  Ludhiana
India  American College, Madurai  Madurai
India  Madurai Kamaraj University  Madurai
India  Tata-Dhan Academy  Madurai
India  Anna University of Technology, Madurai  Madurai
India  Aryabhatta Research Institute of Observational Sciences  Nainital
India  Vikrama Simhapuri University  Nellore
India  Dr. Hari Singh Gour University  Sagar,_Madhya_Pradesh
India  St. Martin's Engineering College  Secunderabad
India  Nalanda International University  Nalanda
India  Biju Patnaik University of Technology  Rourkela
India  Purushottam School of Engineering and Technology, Rourkela  Rourkela
India  Rourkela Institute of Management Studies  Rourkela
India  National Institute of Technology, Rourkela  Rourkela
